fuente,archivo,pagina,tabla,tipo_indice,sector,anno,medida,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2020,indice,1065.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2021,indice,1139.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2022,indice,1234.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2023,indice,1347.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2024,indice,1462.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2025,indice,1534.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2020,variacion_anual,7.8,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2021,variacion_anual,7.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2022,variacion_anual,8.3,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2023,variacion_anual,9.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2024,variacion_anual,8.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2025,variacion_anual,5.6,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2019,indice,1190.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2020,indice,1258.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2021,indice,1347.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2022,indice,1435.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2023,indice,1518.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2024,indice,1630.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2025,indice,1706.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2020,variacion_anual,5.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2021,variacion_anual,7.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Minerales no metálicos,2022,variacion_anual,6.5,porcentaje
