fuente,archivo,pagina,tabla,grupo_costo,componente,componente_etiqueta,sector_codigo,sector,anno,valor,unidad
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,20,Madera y productos de madera,2005,1.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,21_22,Papel e imprenta,2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,23,Prod. derivados del petroleo,2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,24_25,"Prod. quimicos, caucho y plastico",2005,0.3,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,26_27,Minerales no metalicos y metalicas basicas,2005,0.6,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,28_29_30,"Metalicos, Maq. y Equipos",2005,0.9,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,31_32_33,Maq. y aparatos electricos,2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,34_35,Vehiculos y equipo de transporte,2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,36,Muebles y Otras Industrias,2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,15_16,"Alimentos, Bebidas y Tabaco",2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,17_18_19,"Textiles, Vestimenta y Cuero",2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,20,Madera y productos de madera,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,21_22,Papel e imprenta,2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,23,Prod. derivados del petroleo,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,24_25,"Prod. quimicos, caucho y plastico",2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,26_27,Minerales no metalicos y metalicas basicas,2005,1.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,28_29_30,"Metalicos, Maq. y Equipos",2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,31_32_33,Maq. y aparatos electricos,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,34_35,Vehiculos y equipo de transporte,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,lena,Leña,36,Muebles y Otras Industrias,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,15_16,"Alimentos, Bebidas y Tabaco",2005,0.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,17_18_19,"Textiles, Vestimenta y Cuero",2005,0.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,20,Madera y productos de madera,2005,0.6,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,21_22,Papel e imprenta,2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,23,Prod. derivados del petroleo,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,24_25,"Prod. quimicos, caucho y plastico",2005,0.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,26_27,Minerales no metalicos y metalicas basicas,2005,4.3,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,28_29_30,"Metalicos, Maq. y Equipos",2005,0.7,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,31_32_33,Maq. y aparatos electricos,2005,0.8,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,34_35,Vehiculos y equipo de transporte,2005,0.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,otros_combustibles_y_lubricantes,Otros combustibles y lubricantes,36,Muebles y Otras Industrias,2005,1.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,agua,Agua,15_16,"Alimentos, Bebidas y Tabaco",2005,0.4,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,agua,Agua,17_18_19,"Textiles, Vestimenta y Cuero",2005,0.3,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,agua,Agua,20,Madera y productos de madera,2005,0.2,porcentaje
