anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2012,C,4,Rev.4,366495477250.288,,99292174533.5738,,43787874689.4251,110138.749533575,17144628448.139,5974186587.40513,9200641100.65636,16525006971.0191,118070224347.511,55504299844.1487,0.441000259034704,901518.992671195
2012,D_E,4,Rev.4,47162071874.0531,,11576279053.9523,,9907071211.93849,15343.035964684,8642302809.39199,15001790,6459393910.11979,123626401.589902,133154943760.54,1669207842.0138,0.855807912522296,754497.289884357
2012,G,4,Rev.4,165781836455.858,,106511033980.101,,39444683778.099,122466.610158149,16208013394.8697,5287096079.35393,4080117897.13105,4561448348.78081,50911293893.5414,67066350202.0018,0.370334248989343,869714.886715297
2012,H_J,4,Rev.4,143071085935.39,,62543395476.9423,,33818979819.7855,67775.4773051096,16856230160.9046,4850414369.01904,10924762866.573,-1578780762.4343,97676324040.0584,28724415657.1568,0.540728234562408,922802.729892795
2012,I,4,Rev.4,15859123695.9993,,6719857635.42586,,4351816270.32081,21646.754350659,1538388122.94021,3948239.31639056,695355083.879921,84870844.0119964,13487030299.6085,2368041365.10505,0.647605426546365,310432.572318689
2012,K,4,Rev.4,23949255904.0669,,14209091159.926,,6882689620.71421,9841.91104546465,416105780.322707,921150.061033699,321469754.843756,12399871.3531556,5758361751.63478,7326401539.21181,0.484386337116726,1443732.93908949
2012,L_M_N,4,Rev.4,50488644299.7031,,26600421127.7272,,19261904119.4494,79318.368872498,5100184630.97153,242488120.242984,1321647780.19457,-332183917.752543,26431928127.2869,7338517008.27771,0.72412026963632,335362.684657403
2012,P,4,Rev.4,11268744814.3683,,8643208734.18471,,7576950185.61996,34814.3843234316,587838087.3527,13886211.0051248,250514948.512443,2813192.12398252,6339353576.72185,1066258548.56475,0.876636260750294,248265.44838156
2012,Q,4,Rev.4,62224223292.981,,35381423418.7106,,32753414485.3581,81498.5538251129,2517220413.0552,0,1139210051.9329,34502715.7254609,21954988305.3484,2628008933.35247,0.925723482002064,434135.598217305
2012,R_S,4,Rev.4,20344825581.6742,,8361367067.59035,,6242340781.29273,20993.2727975595,1091009522.15292,4984667.284254,585737928.847932,41577264.0442458,14535280606.6955,2119026286.29762,0.746569398380892,398287.925290161
2013,B,4,Rev.4,2043990079.88504,,863567223.215459,,418975808.350729,1107.28968018305,433254714.012333,9742293.09914954,230656695.613082,997467.462015367,2617915368.83439,444591414.86473,0.485168724665914,779892.776633391
2013,C,4,Rev.4,393495580200.293,,111896035273.734,,50186679222.5088,109797.749814658,28790672811.2985,2479792576.57471,9634456614.28344,20496674468.1147,130303268121.312,61709356051.2255,0.4485116840801,1019110.45957334
2013,D_E,4,Rev.4,54232725039.186,,27424184357.438,,11156680423.1465,15449.1998868569,9792573764.66106,0,6620496644.84729,144498009.202512,136716695253.843,16267503934.2915,0.406819042555064,1775120.04235045
2013,G,4,Rev.4,193841746773.559,,120941899213.925,,47556638703.632,129905.885876198,15431546310.898,1559351428.88098,4836468912.32521,5100378627.85208,58469063859.3566,73385260510.2932,0.393218884544823,930996.30088497
2013,H_J,4,Rev.4,166590645489.845,,69150890377.3217,,40907826937.4688,74603.9951949249,30338349956.5551,8966939022.31593,10654294034.682,-931070699.932375,144916625635.688,28243063439.853,0.59157339427237,926905.994734527
2013,I,4,Rev.4,17565205472.8068,,7262263637.36706,,5097565016.30734,23477.8944130387,1212981784.36202,2078435.67361839,574408535.844706,74832160.4159069,12144318126.0958,2164698621.05972,0.701925084360538,309323.464430178
2013,K,4,Rev.4,24251507161.788,,14099675669.1605,,6198366275.33083,8995.69189572079,486641459.452508,11527993.2578369,321559961.237699,154388391.855995,2774582225.77104,7901309393.82966,0.439610557063253,1567380.90105861
2013,L_M_N,4,Rev.4,63930007164.1922,,31520119987.452,,22855256399.2435,81735.9428957009,3447840611.69093,892677929.956276,1679136955.66995,-387926016.496066,13698730388.6915,8664863588.20849,0.725100551912305,385633.527561714
2013,P,4,Rev.4,14553760092.4854,,11200573110.5762,,9482672821.25763,40057.3910166575,558251499.614631,10636154,304143660.412812,2355885.57006866,7329576581.25798,1717900289.3186,0.846623893941957,279613.145696847
2013,Q,4,Rev.4,73795253270.4503,,41392542417.0357,,38369574505.0875,83566.5934527804,3459232323.64235,0,1352059629.43407,5715480.85357435,25443434724.4633,3022967911.94817,0.926968295846838,495324.036876346
2013,R_S,4,Rev.4,25330151395.5901,,10686781272.2666,,7487086853.33496,23601.5738369182,1680914697.25276,132941000.076327,793670652.60136,32515363.0965402,17462542094.3881,3199694418.93168,0.700593252784612,452799.518629986
2014,B,4,Rev.4,2649508648.86953,,1156537265.07982,,515645948.601414,1116.80485864993,258656796.446423,783989.759239889,264894073.744891,-2038462.05032288,2551852111.58536,640891316.478402,0.445853293422264,1035576.8567106
2014,C,4,Rev.4,453640919223.416,,130780131947.159,,56837646365.6924,107700.426949954,78176629453.8231,2217119087.20402,12235321829.4487,22082788548.337,198429417562.734,73942485581.4665,0.434604595663333,1214295.39000741
2014,D_E,4,Rev.4,60440307639.4598,,34218093521.1421,,12417609182.1087,15772.3855100279,20692528407.245,149522279.824349,7628855334.99639,241148849.839481,154498377220.308,21800484339.0333,0.362895997535232,2169493.85997359
2014,G,4,Rev.4,223788449728.297,,141598170945.978,,56309853657.2369,133998.565319341,15707268357.6361,2097675636.11752,6079000311.26302,5773091661.13201,69005027841.6393,85288317288.7411,0.397673594800317,1056714.08203905
2014,H_J,4,Rev.4,198881059460.017,,81883734549.881,,48451679069.9894,79518.9732275915,33656910135.3043,11771004652.4439,12469250862.7201,-1124160007.42525,166481668674.295,33432055479.8916,0.591713108059014,1029738.32817888
2014,I,4,Rev.4,19959337766.5368,,8160447503.62122,,5958119151.52059,24672.1867012927,469669407.46863,1536304.45126556,586193230.235209,63084179.6622693,11667863272.5457,2202328352.10063,0.730121620030845,330754.934794396
2014,K,4,Rev.4,31982816544.7417,,17569615707.3419,,8024572493.34533,10324.7429353487,581411007.741496,12313013.8413837,378592494.57348,63072892.6088216,3181547409.02191,9545043213.99653,0.456730108786163,1701700.06336807
2014,L_M_N,4,Rev.4,75593276006.6308,,36502593280.9487,,27360957939.2389,88280.1168110962,3350964231.87533,227862964.347376,1889692909.18619,-405171205.935085,14715645697.1122,9141635341.7098,0.749562030528911,413486.010208367
2014,P,4,Rev.4,18145160969.3265,,13015052389.1916,,11416645625.0283,42075.7186398752,1660014143.06569,9066431,348451277.567161,2640444.62716842,9637017710.04054,1598406764.16333,0.877187834795753,309324.541800155
2014,Q,4,Rev.4,85039499633.0474,,47875516581.9339,,44683724646.3054,88178.334111498,2965754005.78414,0,1465175347.19343,-822310.508889321,27984475225.1543,3191791935.62851,0.933331436117956,542939.680867607
2014,R_S,4,Rev.4,29193647565.9273,,12561955206.6052,,8950181584.13468,25221.0912492698,1708167802.60063,223277291.508812,973380181.208612,43212046.8076717,18261605789.3383,3611773622.47053,0.712483163403463,498073.42126677
2015,B,4,Rev.4,2662540824.22498,,1228502364.78267,,561211583.073811,1137.11496246499,252197995.586458,8628195.74311557,343404289.661252,-5863758.19174755,2396499180.72533,667290781.708856,0.456825806088777,1080367.77751967
2015,C,4,Rev.4,478094966223.237,,151939673902.592,,61103872632.9691,103791.208900956,26806672376.5168,1393260740.63695,14988600854.6759,24800676496.6772,207813793849.166,90835801269.6229,0.402158771725037,1463897.33303503
2015,D_E,4,Rev.4,64683721370.5944,,35724098052.0285,,14205432688.972,16253.8758929709,18195872414.6954,32017019.3393641,8311517122.07895,346144896.812117,161446632376.775,21518665363.0565,0.397642864720707,2197881.80291678
2015,G,4,Rev.4,262829007187.28,,159962546860.726,,67373300663.5271,136613.68561472,19503083471.2755,2323741120.74112,7438451576.75176,10557596680.7507,85372829845.5548,92589246197.1986,0.421181720257223,1170911.58283991
2015,H_J,4,Rev.4,216904071925.538,,98540714633.191,,53342737578.6859,77928.6306974964,23957271517.9884,7034142147.0534,12736379725.9338,-304321164.112145,170080653559.119,45197977054.5051,0.541326879729353,1264499.50103328
2015,I,4,Rev.4,21972343224.9904,,9147044386.55216,,7055016645.92952,26120.1630855247,917162106.248329,0,803759978.445366,89831301.7467064,15956404692.9329,2092027740.62263,0.771289210786131,350190.937039795
2015,K,4,Rev.4,38483653990.7882,,17750875412.7136,,9636283095.24866,8615.02543064335,860505852.153555,58298,405853425.452468,30839570.0616362,3467425442.43678,8114592317.46495,0.542862415019088,2060455.37016923
2015,L_M_N,4,Rev.4,102706464894.091,,49853153173.5299,,31307189934.06,87409.7828025273,4463144698.16174,1670175867.95316,5199647205.98445,-247339499.241745,21724334755.746,18545963239.4699,0.627988160048478,570338.371463022
2015,P,4,Rev.4,18723363905.9741,,14662674623.271,,12653250965.7407,43320.9588139442,1254056387.89072,16236452,357294067.919556,3303506.91393354,10874479422.3483,2009423657.53025,0.862956540388538,338466.068727716
2015,Q,4,Rev.4,95714830960.9988,,54123496927.2571,,49738341859.0136,91004.743757116,4205541725.55819,698921.547745171,1615336047.35314,-59390660.0091157,32164274857.1295,4385155068.24355,0.9189787187229,594732.699558038
2015,R_S,4,Rev.4,36039843375.6869,,14274765515.2695,,11103337809.7628,26784.7444140958,4809343819.49825,16663386.4620146,1190315287.88643,56839893.063851,24764142793.7911,3171427705.50664,0.777829786267647,532943.876356617
2016,B,4,Rev.4,2430171441.33168,,1083559643.49404,,615830080.234561,1073.88621012172,297533326.572692,16296848.6942141,215934462.080734,1512937.15786385,1211587939.07442,467729563.259482,0.568339808456466,1009007.87558416
