anno,seccion,seccion_fuente,ciiu_version,epoca,archivo_fuente,division_publicada,codigos_componentes,codigos_base_2dig,nivel_agregacion,usar_para_homologacion,descripcion_fuente,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2008,C,C,Rev.4,4,EAE_C1_2008.xls,30,30,30,division_2_digitos,si,Fabricación de otros tipos de equipo de transporte.,1534839947.0,,852434532.0,,201357086.0,773.0
2008,C,C,Rev.4,4,EAE_C1_2008.xls,31,31,31,division_2_digitos,si,Fabricación de muebles.,1418680486.4670935,,479443274.2722374,,290086552.2582954,1899.2303750422961
2008,C,C,Rev.4,4,EAE_C1_2008.xls,32,32,32,division_2_digitos,si,Otras industrias manufactureras.,1140110609.8747032,,517195518.29710513,,284831203.8295257,1535.5776502549695
2008,C,C,Rev.4,4,EAE_C1_2008.xls,33,33,33,division_2_digitos,si,Reparación e instalación de la maquinaria y equipo.,814261119.1660789,,423621920.8326154,,289092315.92514277,1220.8739860646936
2009,C,C,Rev.4,4,EAE_C1_2009.xls,10,10,10,division_2_digitos,si,Elaboración de productos alimenticios.,105932508750.34076,,25116933287.865967,,10957734975.171478,45966.34175922803
2009,C,C,Rev.4,4,EAE_C1_2009.xls,11,11,11,division_2_digitos,si,Elaboración de bebidas.,16635599452.082792,,6821496943.8033905,,1594054124.3071012,3178.582505851844
2009,C,C,Rev.4,4,EAE_C1_2009.xls,12,12,12,division_2_digitos,si,Elaboración de productos de tabaco.,5520222984.0,,4095509517.0,,493771858.0,591.0
2009,C,C,Rev.4,4,EAE_C1_2009.xls,13,13,13,division_2_digitos,si,Fabricación de productos textiles.,5466330041.748407,,969178765.8088044,,770747773.7111486,3650.4990770822806
2009,C,C,Rev.4,4,EAE_C1_2009.xls,14,14,14,division_2_digitos,si,Fabricación de prendas de vestir.,3381505038.2933903,,1148754072.7522354,,731673624.8702352,5937.400927423662
2009,C,C,Rev.4,4,EAE_C1_2009.xls,15,15,15,division_2_digitos,si,Fabricación de cueros y productos conexos.,7388494793.888194,,1963895095.38089,,1329933739.1149879,4883.1957452579645
2009,C,C,Rev.4,4,EAE_C1_2009.xls,16,16,16,division_2_digitos,si,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",4533805114.459713,,1048301696.5365922,,621743926.0351394,3163.26145373745
2009,C,C,Rev.4,4,EAE_C1_2009.xls,17,17,17,division_2_digitos,si,Fabricación de papel y de los productos de papel.,16662273597.97383,,4611753579.976502,,976549245.6614876,2279.8768994748157
