fuente,archivo,pagina,tabla,anno,trimestre,variable,variable_etiqueta,valor,unidad
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,718.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,683.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,225.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,583.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,577.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,556.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,215.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,503.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,495.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,4,imeq_total_economia_sin_celulosa,Economía sin celulosa,464.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,171.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,445.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,440.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,420.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,189.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,447.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,431.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,430.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,179.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,431.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,427.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,395.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,170.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,513.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,506.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2017,4,imeq_total_economia_sin_celulosa,Economía sin celulosa,477.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,239.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,429.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,419.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,424.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,219.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,530.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,513.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,524.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,236.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,461.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,455.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,435.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,189.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,479.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,468.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2018,4,imeq_total_economia_sin_celulosa,Economía sin celulosa,438.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,215.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,412.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,405.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,413.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,212.0,indice_2002_100
